AREA,AREA_TITLE,PRIM_STATE,GEOGRAPHY_TYPE,COVERAGE_STATUS
2100004,East Kentucky nonmetropolitan area,KY,bos,matched
2200002,Central Louisiana nonmetropolitan area,LA,bos,matched
2200003,Northeast Louisiana nonmetropolitan area,LA,bos,matched
2200006,Southwest Louisiana nonmetropolitan area,LA,bos,matched
2300001,Northeast Maine nonmetropolitan area,ME,bos,matched
2300002,Southwest Maine nonmetropolitan area,ME,bos,matched
2400006,Maryland nonmetropolitan area,MD,bos,matched
2600001,Upper Peninsula of Michigan nonmetropolitan area,MI,bos,matched
2600002,Northern Michigan nonmetropolitan area,MI,bos,matched
2600003,Mid Michigan nonmetropolitan area,MI,bos,matched
2600004,Southern Michigan nonmetropolitan area,MI,bos,matched
2700001,Northwest Minnesota nonmetropolitan area,MN,bos,matched
2700002,Northeast Minnesota nonmetropolitan area,MN,bos,matched
2700003,Southwest Minnesota nonmetropolitan area,MN,bos,matched
2700004,Southeast Minnesota nonmetropolitan area,MN,bos,matched
2900001,Central Missouri nonmetropolitan area,MO,bos,matched
2900002,North Missouri nonmetropolitan area,MO,bos,matched
2900003,Southeast Missouri nonmetropolitan area,MO,bos,matched
2900004,Southwest Missouri nonmetropolitan area,MO,bos,matched
3000003,Southwest Montana nonmetropolitan area,MT,bos,matched
3000004,West Montana nonmetropolitan area,MT,bos,matched
3000006,East-Central Montana nonmetropolitan area,MT,bos,matched
3100001,Northwest Nebraska nonmetropolitan area,NE,bos,matched
3100003,Northeast Nebraska nonmetropolitan area,NE,bos,matched
3100006,South Nebraska nonmetropolitan area,NE,bos,matched
3200006,Balance of Nevada nonmetropolitan area,NV,bos,matched
3300001,Northern New Hampshire nonmetropolitan area,NH,bos,matched
3300002,Central New Hampshire nonmetropolitan area,NH,bos,matched
3300006,Southwestern New Hampshire nonmetropolitan area,NH,bos,matched
3500006,Northern New Mexico nonmetropolitan area,NM,bos,matched
3500007,Eastern New Mexico nonmetropolitan area,NM,bos,matched
3600001,Capital/Northern New York nonmetropolitan area,NY,bos,matched
3600004,Southwest New York nonmetropolitan area,NY,bos,matched
3600006,Central East New York nonmetropolitan area,NY,bos,matched
3700001,Eastern North Carolina nonmetropolitan area,NC,bos,matched
3700002,Central North Carolina nonmetropolitan area,NC,bos,matched
3700003,Western North Carolina nonmetropolitan area,NC,bos,matched
3800006,West North Dakota nonmetropolitan area,ND,bos,matched
3800007,East North Dakota nonmetropolitan area,ND,bos,matched
3900001,West Northwestern Ohio nonmetropolitan area,OH,bos,matched
3900002,North Northeastern Ohio nonmetropolitan area (noncontiguous),OH,bos,matched
3900003,Eastern Ohio nonmetropolitan area,OH,bos,matched
3900004,Southern Ohio nonmetropolitan area,OH,bos,matched
4000001,Northeast Oklahoma nonmetropolitan area,OK,bos,matched
4000002,Northwest Oklahoma nonmetropolitan area,OK,bos,matched
4000003,Southwest Oklahoma nonmetropolitan area,OK,bos,matched
4000004,Southeast Oklahoma nonmetropolitan area,OK,bos,matched
4100006,Coast Oregon nonmetropolitan area,OR,bos,matched
4100007,Central Oregon nonmetropolitan area,OR,bos,matched
4100008,Eastern Oregon nonmetropolitan area,OR,bos,matched
4200001,Northwestern Pennsylvania nonmetropolitan area,PA,bos,matched
4200002,Northeastern Pennsylvania nonmetropolitan area,PA,bos,matched
4200003,Central Pennsylvania nonmetropolitan area,PA,bos,matched
4600002,East South Dakota nonmetropolitan area,SD,bos,matched
4600003,West South Dakota nonmetropolitan area,SD,bos,matched
4700001,West Tennessee nonmetropolitan area,TN,bos,matched
4700002,South Central Tennessee nonmetropolitan area,TN,bos,matched
4700003,North Central Tennessee nonmetropolitan area,TN,bos,matched
4700004,East Tennessee nonmetropolitan area,TN,bos,matched
4800001,Northwestern Region of Texas nonmetropolitan area,TX,bos,matched
4800002,North Region of Texas nonmetropolitan area,TX,bos,matched
4800003,Eastern Region of Texas nonmetropolitan area,TX,bos,matched
4800004,Hill Country Region of Texas nonmetropolitan area,TX,bos,matched
4800005,Border Region of Texas nonmetropolitan area,TX,bos,matched
4800006,Coastal Plains Region of Texas nonmetropolitan area,TX,bos,matched
5000001,Southern Vermont nonmetropolitan area,VT,bos,matched
5000002,Northern Vermont nonmetropolitan area,VT,bos,matched
5100001,Southwest Virginia nonmetropolitan area,VA,bos,matched
5100002,Southside Virginia nonmetropolitan area,VA,bos,matched
5100003,Northeast Virginia nonmetropolitan area,VA,bos,matched
5100004,Northwest Virginia nonmetropolitan area,VA,bos,matched
5300006,Western Washington nonmetropolitan area,WA,bos,matched
5300007,Eastern Washington nonmetropolitan area,WA,bos,matched
5400001,Southern West Virginia nonmetropolitan area,WV,bos,matched
